Min °C,Max °C,Rain(mm),Max wind gust Spd - km/h,Temp °C- 9:00AM,RH -% 9:00AM,Spd - 9:00AM - km/h,MSLP- hPa - 9:00AM,Temp °C- 3:00PM,RH -% 3:00PM,Spd - 3:00PM - km/h,MSLP- hPa - 3:00PM,RainTomorrow,State_NSW,State_NT,State_QLD,State_SA,State_TAS,State_VIC,State_WA,Month_August,Month_December,Month_February,Month_January,Month_July,Month_June,Month_March,Month_May,Month_November,Month_October,Month_September
9.1,12.3,10.4,57.0,10.3,77.0,11.0,1008.3,11.2,94.0,17.0,1002.3,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
10.6,20.3,0.0,37.0,15.1,29.0,9.0,1021.9,19.6,25.0,20.0,1016.5,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
10.7,14.9,0.0,30.0,13.3,74.0,7.0,1030.2,13.7,68.0,11.0,1029.0,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
9.8,19.7,0.0,35.0,15.0,31.0,9.0,1017.2,17.9,28.0,17.0,1012.9,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2.0,14.8,0.0,17.0,8.6,78.0,13.0,1030.7,14.2,48.0,6.0,1027.3,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
8.1,15.5,0.4,35.0,12.4,83.0,13.0,1032.8,14.2,72.0,19.0,1031.2,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
4.3,16.5,0.0,20.0,10.9,73.0,6.0,1029.6,15.1,45.0,9.0,1026.7,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
7.6,14.2,1.6,31.0,10.3,95.0,13.0,1011.5,12.6,92.0,9.0,1006.0,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
4.5,18.0,0.0,33.0,11.9,44.0,11.0,1026.2,17.6,35.0,11.0,1022.3,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
11.7,16.6,1.2,33.0,12.7,94.0,9.0,1030.5,15.7,77.0,15.0,1028.9,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
7.2,14.6,0.0,35.0,9.6,90.0,6.0,1027.4,13.5,77.0,11.0,1024.9,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
11.3,22.9,0.0,35.0,15.3,60.0,9.0,1017.2,22.0,46.0,19.0,1016.2,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
13.0,21.6,0.0,35.0,16.5,52.0,7.0,1023.1,20.7,47.0,17.0,1021.0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
32.8,45.0,0.0,50.0,39.4,12.0,19.0,1008.0,41.5,14.0,22.0,1005.5,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
25.1,42.7,0.0,39.0,31.6,15.0,9.0,1013.4,42.1,9.0,13.0,1009.7,1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
11.5,19.5,6.6,44.0,12.7,85.0,9.0,1008.3,17.6,48.0,20.0,1010.6,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
21.7,27.2,0.0,52.0,22.4,65.0,4.0,1015.0,22.0,62.0,19.0,1017.7,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
15.1,36.5,0.0,26.0,26.9,23.0,13.0,1014.7,36.1,9.0,11.0,1013.4,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
18.4,34.7,0.0,28.0,26.7,26.0,6.0,1016.3,32.2,14.0,17.0,1015.9,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
27.8,41.5,0.0,57.0,33.4,25.0,11.0,1005.3,36.0,23.0,15.0,1001.1,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
9.4,27.7,0.0,24.0,16.8,49.0,7.0,1018.8,26.2,34.0,11.0,1015.6,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
13.7,25.6,0.0,26.0,15.9,76.0,6.0,1019.7,22.6,39.0,13.0,1017.3,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
17.4,24.7,0.0,33.0,20.2,55.0,13.0,1020.7,20.2,56.0,13.0,1021.3,1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
24.4,40.1,0.2,30.0,30.5,39.0,7.0,1012.4,39.3,16.0,9.0,1011.0,1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
11.3,18.2,2.4,50.0,14.2,88.0,20.0,1009.3,16.9,55.0,24.0,1007.0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
16.6,39.6,0.0,30.0,27.6,17.0,9.0,1013.7,38.9,9.0,13.0,1011.0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
12.6,31.3,0.0,30.0,19.7,56.0,6.0,1013.7,29.2,9.0,9.0,1012.1,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
13.0,27.5,0.0,30.0,19.5,32.0,9.0,1021.5,26.4,26.0,7.0,1018.7,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
23.3,39.8,0.0,28.0,33.5,27.0,2.0,1012.2,38.1,15.0,13.0,1011.1,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
13.4,26.1,0.0,26.0,18.2,66.0,9.0,1014.7,24.8,44.0,13.0,1013.6,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
14.6,24.5,0.0,37.0,18.1,52.0,13.0,1022.5,23.6,34.0,13.0,1021.3,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
23.2,45.2,0.0,24.0,36.5,13.0,2.0,1012.5,43.1,10.0,9.0,1009.6,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
18.2,35.4,0.0,26.0,25.4,27.0,6.0,1018.8,34.0,17.0,9.0,1016.1,1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
12.7,21.7,0.2,35.0,14.6,82.0,11.0,1015.5,20.1,47.0,17.0,1015.4,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
13.8,26.7,0.0,28.0,17.8,61.0,4.0,1021.2,25.3,51.0,9.0,1018.8,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
20.7,41.8,0.0,28.0,30.1,26.0,13.0,1015.8,41.7,7.0,7.0,1012.8,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
15.7,33.4,0.0,30.0,24.8,48.0,7.0,1016.6,31.3,27.0,13.0,1014.9,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
15.2,24.7,0.0,39.0,19.1,43.0,13.0,1015.9,23.4,34.0,17.0,1014.7,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
14.4,25.0,0.0,30.0,17.0,60.0,11.0,1018.4,23.4,37.0,13.0,1016.3,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
12.4,26.6,0.0,30.0,17.8,48.0,7.0,1020.2,25.9,30.0,9.0,1018.7,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
27.9,45.0,0.0,30.0,36.5,11.0,11.0,1013.4,44.7,7.0,13.0,1011.0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
19.4,35.7,0.0,33.0,27.9,21.0,6.0,1016.9,31.6,25.0,20.0,1015.5,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
7.1,21.5,0.0,39.0,16.8,58.0,9.0,1028.8,21.2,37.0,15.0,1026.1,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
12.2,14.2,3.4,46.0,13.6,74.0,17.0,1014.9,12.5,81.0,17.0,1014.2,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
5.9,18.5,0.0,28.0,9.4,87.0,6.0,1022.7,18.2,42.0,11.0,1019.3,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
11.9,16.6,0.0,24.0,13.3,78.0,4.0,1022.3,15.9,68.0,15.0,1021.8,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
7.2,14.8,0.0,37.0,10.0,64.0,11.0,1022.1,13.8,53.0,15.0,1018.3,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
7.4,15.7,0.0,24.0,10.3,91.0,7.0,1029.0,14.9,62.0,13.0,1027.0,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
10.0,13.7,2.6,28.0,11.8,91.0,6.0,1030.7,12.6,93.0,15.0,1030.5,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
8.2,19.2,0.0,43.0,12.5,58.0,15.0,1012.7,17.7,35.0,20.0,1009.3,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
11.2,16.9,4.0,26.0,12.3,87.0,6.0,1025.2,16.1,45.0,11.0,1024.3,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
16.0,21.8,0.0,35.0,17.4,53.0,15.0,1025.3,21.1,44.0,13.0,1022.7,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
8.1,13.4,5.2,41.0,11.1,61.0,13.0,1025.6,12.7,50.0,19.0,1027.9,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
9.4,20.2,0.0,44.0,14.9,36.0,9.0,1015.0,20.0,30.0,19.0,1008.0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
6.8,15.9,0.0,24.0,9.8,82.0,2.0,1025.0,14.6,43.0,9.0,1023.4,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
12.7,17.0,4.6,28.0,14.0,88.0,7.0,1025.9,16.6,61.0,13.0,1025.5,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
6.0,13.4,2.4,41.0,11.0,95.0,11.0,1031.4,13.3,67.0,15.0,1029.6,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
8.6,16.7,0.0,33.0,12.0,75.0,9.0,1014.7,16.1,53.0,15.0,1014.1,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
7.1,19.3,0.0,24.0,12.2,72.0,2.0,1023.0,18.3,52.0,9.0,1019.3,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
7.8,16.9,0.0,22.0,11.4,66.0,13.0,1034.9,15.4,52.0,11.0,1031.1,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
10.3,15.6,3.0,39.0,12.7,85.0,13.0,1016.0,15.1,79.0,15.0,1015.9,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
10.2,15.0,0.8,33.0,10.3,92.0,13.0,1022.5,14.5,65.0,15.0,1019.6,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
9.5,17.9,0.0,30.0,12.6,77.0,7.0,1025.6,16.2,67.0,15.0,1022.1,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
7.7,15.6,0.0,17.0,10.5,64.0,7.0,1023.5,15.1,67.0,19.0,1023.7,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
5.6,16.8,0.4,24.0,10.6,81.0,6.0,1024.5,16.2,55.0,11.0,1019.1,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
11.0,14.6,1.2,17.0,12.0,95.0,6.0,1030.7,14.2,79.0,9.0,1028.4,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
10.4,16.0,4.8,48.0,11.7,91.0,13.0,1016.3,14.7,72.0,20.0,1016.5,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
5.4,15.4,0.2,20.0,10.3,84.0,2.0,1030.9,13.5,65.0,9.0,1029.5,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
7.3,16.5,0.0,28.0,12.5,73.0,2.0,1031.0,15.3,53.0,9.0,1030.6,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
8.1,16.7,0.0,61.0,10.4,66.0,11.0,1012.8,15.6,63.0,22.0,1006.9,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
10.4,14.5,2.2,33.0,10.8,95.0,11.0,1024.8,13.6,76.0,15.0,1022.1,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
8.8,15.8,4.4,28.0,12.3,95.0,7.0,1025.7,15.6,73.0,15.0,1025.2,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
7.8,12.9,0.0,20.0,9.2,57.0,4.0,1034.5,12.3,49.0,9.0,1032.5,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3.7,16.9,0.0,28.0,10.8,71.0,11.0,1035.0,16.7,50.0,9.0,1030.9,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
11.1,17.3,0.4,26.0,12.1,94.0,9.0,1021.4,15.7,80.0,9.0,1020.4,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
4.1,14.9,0.2,19.0,9.4,68.0,2.0,1031.0,13.7,48.0,4.0,1030.0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
16.1,22.0,0.0,44.0,17.7,47.0,13.0,1020.6,21.2,45.0,17.0,1015.8,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
5.8,14.5,0.4,37.0,9.9,74.0,2.0,1031.2,12.3,56.0,13.0,1030.0,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
10.8,18.1,5.0,44.0,13.4,79.0,9.0,1015.4,17.5,55.0,11.0,1016.0,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
5.6,15.4,0.2,30.0,10.3,77.0,9.0,1023.3,13.8,63.0,13.0,1020.7,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1.3,12.0,0.0,26.0,5.9,70.0,7.0,1031.6,11.5,42.0,11.0,1027.8,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
9.3,15.5,0.0,20.0,11.0,75.0,2.0,1035.5,14.8,60.0,7.0,1033.1,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
5.5,17.7,0.0,24.0,10.7,74.0,13.0,1027.8,17.5,43.0,9.0,1023.6,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
11.1,16.2,0.8,26.0,12.1,86.0,9.0,1022.9,15.4,67.0,13.0,1020.7,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
5.8,15.8,0.0,24.0,8.9,65.0,13.0,1033.0,12.9,49.0,7.0,1030.1,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
10.3,14.1,12.6,54.0,10.3,94.0,19.0,1012.6,10.7,81.0,19.0,1013.2,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
10.9,15.9,0.8,39.0,11.7,94.0,2.0,1033.4,15.5,55.0,17.0,1029.7,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
10.2,16.6,0.0,39.0,15.5,36.0,13.0,1018.2,12.7,87.0,9.0,1013.7,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
8.6,17.4,0.0,20.0,12.9,61.0,6.0,1022.7,16.9,48.0,9.0,1022.0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1.9,13.7,0.0,20.0,5.8,74.0,2.0,1032.3,12.8,34.0,9.0,1029.5,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
5.7,13.1,17.8,41.0,9.2,92.0,9.0,1023.7,12.7,65.0,11.0,1022.6,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
7.7,15.1,0.0,20.0,11.1,63.0,13.0,1039.1,13.9,56.0,6.0,1036.1,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
10.2,16.9,1.2,31.0,11.2,92.0,9.0,1019.9,16.4,68.0,13.0,1018.6,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
5.7,12.6,0.0,19.0,9.1,66.0,4.0,1027.5,12.5,59.0,7.0,1025.9,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
11.0,22.0,0.0,41.0,16.6,47.0,9.0,1027.0,21.8,36.0,17.0,1021.7,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
5.5,13.1,0.0,28.0,8.8,84.0,13.0,1034.0,13.1,66.0,9.0,1032.7,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
6.7,22.4,0.0,31.0,14.7,44.0,7.0,1019.8,22.1,33.0,13.0,1016.0,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
7.7,14.6,5.2,33.0,11.0,68.0,6.0,1024.7,12.9,56.0,17.0,1025.1,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
5.9,17.2,0.0,20.0,11.3,44.0,6.0,1031.5,17.0,32.0,9.0,1030.2,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
3.9,15.1,0.0,17.0,7.7,76.0,4.0,1037.6,13.6,57.0,9.0,1035.4,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
14.4,17.9,38.0,33.0,14.4,96.0,13.0,1015.1,17.2,75.0,19.0,1014.0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
3.5,13.9,0.0,20.0,7.5,78.0,13.0,1029.0,12.7,55.0,6.0,1026.6,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
5.3,19.7,0.0,30.0,13.6,57.0,7.0,1032.0,19.1,35.0,15.0,1028.2,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
9.4,18.8,5.2,48.0,13.3,80.0,13.0,1018.2,15.5,90.0,6.0,1016.8,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
6.9,14.8,9.8,44.0,10.3,70.0,11.0,1024.9,14.5,39.0,13.0,1026.4,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
9.8,23.1,0.0,19.0,17.2,43.0,6.0,1025.4,22.2,25.0,7.0,1022.4,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
13.4,23.7,1.6,56.0,18.7,61.0,9.0,1017.6,19.8,69.0,13.0,1017.1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
8.1,15.2,0.0,20.0,12.8,84.0,4.0,1033.6,14.5,80.0,9.0,1032.1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
6.6,20.3,0.0,22.0,14.8,57.0,6.0,1024.7,19.6,36.0,9.0,1019.5,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
8.3,19.5,0.0,30.0,14.8,57.0,13.0,1028.0,19.1,44.0,11.0,1025.4,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
10.6,19.3,4.2,30.0,14.4,67.0,9.0,1021.8,17.9,66.0,13.0,1021.2,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
11.5,15.2,10.0,52.0,13.5,50.0,17.0,1020.4,13.8,59.0,17.0,1020.7,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
10.0,18.8,4.6,28.0,14.7,68.0,9.0,1025.9,17.4,50.0,15.0,1025.2,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
9.5,17.5,1.6,35.0,13.5,92.0,2.0,1031.7,16.3,68.0,11.0,1030.5,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
9.5,24.8,0.0,35.0,18.6,47.0,7.0,1025.6,23.8,39.0,6.0,1022.5,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
11.9,16.4,0.8,33.0,13.4,94.0,13.0,1017.3,14.6,83.0,17.0,1015.7,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
12.5,18.6,0.0,22.0,15.0,54.0,9.0,1028.0,17.6,46.0,11.0,1025.5,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
12.1,17.0,0.8,22.0,13.9,86.0,2.0,1031.9,16.2,52.0,11.0,1029.1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
18.6,23.2,0.0,39.0,22.8,37.0,13.0,1020.7,17.8,86.0,4.0,1019.7,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
10.8,15.8,2.8,50.0,13.2,70.0,9.0,1019.4,14.0,85.0,20.0,1016.4,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
11.5,17.4,10.0,37.0,11.8,89.0,15.0,1014.8,16.3,60.0,15.0,1015.9,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
10.6,12.0,4.6,33.0,11.0,89.0,7.0,1011.5,10.7,85.0,7.0,1011.7,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
8.3,21.5,0.0,20.0,16.5,61.0,7.0,1028.2,19.2,50.0,9.0,1024.5,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
8.6,25.1,0.0,28.0,17.1,63.0,2.0,1024.6,24.0,42.0,9.0,1021.4,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
5.0,15.2,2.2,26.0,8.1,83.0,13.0,1030.0,13.7,51.0,13.0,1030.3,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
10.3,18.1,0.0,56.0,16.2,47.0,13.0,1012.8,15.1,66.0,22.0,1012.6,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
6.6,20.2,0.2,20.0,13.3,69.0,13.0,1031.0,19.5,42.0,9.0,1029.6,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
10.6,23.0,0.0,20.0,15.9,57.0,4.0,1024.1,22.9,29.0,9.0,1022.2,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
11.7,16.1,0.6,48.0,13.8,83.0,11.0,1018.4,14.1,89.0,20.0,1014.7,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
12.6,19.6,7.4,39.0,14.6,77.0,17.0,1009.1,18.5,40.0,19.0,1007.8,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
9.6,18.1,18.2,28.0,12.9,71.0,2.0,1019.9,15.7,57.0,15.0,1018.6,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
7.0,20.5,0.0,19.0,13.6,72.0,13.0,1032.6,19.8,48.0,9.0,1029.7,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
6.7,22.4,0.0,17.0,13.0,60.0,4.0,1028.2,21.0,45.0,9.0,1026.1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
10.2,14.0,2.8,50.0,10.7,77.0,11.0,1015.3,13.6,41.0,19.0,1016.7,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
